Pass,SpreadModel,TimeFrame,LookBack,RegressionLookBack,ZScoreOpen,ZScoreClose,AddZStep,MaxAddCount,AddLotStep,BaseLots,MinBasketProfit,ExtremeZThreshold,NetProfit,Sharpe,ProfitFactor,MaxAccountProfit,MaxAccountLoss,WorstBasketLoss,MaxEquityDrawdown,MaxEquityDrawdownPct,LongestBasketHoldHours,AvgBasketHoldHours,MaxExtremeZHours,AvgExtremeZHours,BasketCountObserved,ExtremeZEpisodeCount,ActiveBasketAgeHoursAtEnd,Score
93,OLS_LOG_RESIDUAL,M30,60,60,2.5,0,1.5,7,0.04,0.01,1,3,601.47,0.797076,1.171185,934.88,270.59,762.67,795.54,7.5586,1990.9997,105.7953,2.9392,0.0254,44,3222,1990.9997,0.994331
34,OLS_LOG_RESIDUAL,M15,60,60,2.0,0,3.0,7,0.00,0.01,1,3,204.90,0.549416,1.125615,348.11,319.37,366.44,372.91,3.7092,1541.6619,58.8624,1.2067,0.0213,87,5679,1541.6619,0.414246
64,OLS_LOG_RESIDUAL,M15,60,60,1.5,0,2.5,7,0.02,0.01,1,3,221.63,0.102272,1.048749,378.96,2158.36,2160.94,2163.05,21.6204,3026.5169,58.6095,1.2067,0.0213,89,5679,1542.5550,0.005378
3,OLS_LOG_RESIDUAL,M30,60,60,2.0,0,1.0,7,0.00,0.01,1,3,429.52,0.527784,1.196165,501.03,869.24,1187.45,1190.09,11.5309,2063.6453,100.0896,2.9392,0.0254,49,3222,195.7589,3.985919
94,OLS_LOG_RESIDUAL,M15,60,60,3.0,0,1.5,7,0.04,0.01,1,3,2191.68,1.098051,1.291760,2333.68,304.22,1885.64,1931.79,15.9837,1541.6583,89.0720,1.2067,0.0213,55,5679,1541.6583,7.969374
35,OLS_LOG_RESIDUAL,M30,60,60,2.0,0,3.0,7,0.00,0.01,1,3,68.87,0.167542,1.051643,345.92,236.02,580.43,581.94,5.6248,1424.5136,93.1156,2.9392,0.0254,52,3222,992.4892,0.023791
65,OLS_LOG_RESIDUAL,M30,60,60,1.5,0,2.5,7,0.02,0.01,1,3,502.28,1.194029,1.222281,543.45,92.80,286.94,290.36,2.8015,1424.5825,71.7656,2.9392,0.0254,72,3222,195.9225,36.867126
95,OLS_LOG_RESIDUAL,M30,60,60,3.0,0,1.5,7,0.04,0.01,1,3,584.96,0.387328,1.145811,711.69,1286.83,1586.77,1632.82,15.7822,1528.1056,100.7315,2.9392,0.0254,41,3222,1528.1056,0.410881
4,OLS_LOG_RESIDUAL,M15,60,60,2.5,0,1.0,7,0.00,0.01,1,3,597.55,0.662026,1.154099,615.01,638.96,723.95,730.07,7.2348,1424.6706,52.4735,1.2067,0.0213,87,5679,30.2028,12.588047
36,OLS_LOG_RESIDUAL,M15,60,60,2.5,0,3.0,7,0.00,0.01,1,3,-115.70,-0.403689,0.877071,161.86,208.55,365.38,370.01,3.6412,2952.2183,170.8348,1.2067,0.0213,31,5679,1990.9997,-8.451964
66,OLS_LOG_RESIDUAL,M15,60,60,2.0,0,2.5,7,0.02,0.01,1,3,401.74,0.605155,1.176179,548.62,605.82,726.79,733.26,7.2403,1541.6619,57.3752,1.2067,0.0213,89,5679,1541.6619,0.889443
96,OLS_LOG_RESIDUAL,M15,60,60,1.5,0,2.0,7,0.04,0.01,1,3,-542.96,-0.133727,0.928630,415.78,3671.22,3673.80,3675.91,36.7419,3079.5128,70.3440,1.2067,0.0213,75,5679,1542.5550,-78.909468
5,OLS_LOG_RESIDUAL,M30,60,60,2.5,0,1.0,7,0.00,0.01,1,3,81.82,0.172784,1.044199,364.22,121.44,485.14,485.66,4.6859,1541.8217,135.8587,2.9392,0.0254,35,3222,1541.8217,0.016273
37,OLS_LOG_RESIDUAL,M30,60,60,2.5,0,3.0,7,0.00,0.01,1,3,17.70,0.044367,1.015264,276.97,287.19,561.67,564.16,5.4896,1424.4642,116.3600,2.9392,0.0254,41,3222,992.3572,0.000486
67,OLS_LOG_RESIDUAL,M30,60,60,2.0,0,2.5,7,0.02,0.01,1,3,-356.84,-0.320728,0.873539,447.12,1270.79,1716.30,1717.91,16.4439,1424.5136,80.1674,2.9392,0.0254,60,3222,992.4892,-37.175262
97,OLS_LOG_RESIDUAL,M30,60,60,1.5,0,2.0,7,0.04,0.01,1,3,717.92,1.269031,1.242278,759.09,92.80,466.07,469.49,4.4365,1424.5825,70.0838,2.9392,0.0254,73,3222,195.9225,50.091341
6,OLS_LOG_RESIDUAL,M15,60,60,3.0,0,1.0,7,0.00,0.01,1,3,861.44,1.736290,1.299919,878.89,79.05,388.64,392.41,3.7601,1128.0658,42.1322,1.2067,0.0213,95,5679,30.1889,162.252265
